SettlementPoint,Year,Month,AveragePrice
LZ_NORTH,2016,12,25.28624999999999
LZ_NORTH,2017,1,23.603024193548404
LZ_NORTH,2017,2,19.550014880952375
LZ_NORTH,2017,3,21.839407806191105
LZ_NORTH,2017,4,21.975805555555546
LZ_NORTH,2017,5,24.557513440860216
LZ_NORTH,2017,6,26.893736111111114
LZ_NORTH,2017,7,31.186841397849467
LZ_NORTH,2017,8,27.060362903225812
LZ_NORTH,2017,9,23.968402777777758
LZ_NORTH,2017,10,21.938427419354845
LZ_NORTH,2017,11,22.263166666666674
LZ_NORTH,2017,12,21.4081317204301
LZ_NORTH,2018,1,37.728521505376335
LZ_NORTH,2018,2,21.84046130952379
LZ_NORTH,2018,3,22.640551816958272
LZ_NORTH,2018,4,24.36688888888891
LZ_NORTH,2018,5,37.451881720430116
LZ_NORTH,2018,6,31.301611111111136
LZ_NORTH,2018,7,79.84618279569887
LZ_NORTH,2018,8,31.97158602150531
LZ_NORTH,2018,9,27.885847222222214
LZ_NORTH,2018,10,31.64541666666666
LZ_NORTH,2018,11,31.97412499999999
LZ_NORTH,2018,12,31.131948924731233
LZ_NORTH,2019,1,24.36783602150537
LZ_NORTH,2019,2,20.85114583333333
LZ_NORTH,2019,3,28.594037685060574
LZ_NORTH,2019,4,23.718430555555557
LZ_NORTH,2019,5,24.011451612903222
LZ_NORTH,2019,6,25.20791666666667
LZ_NORTH,2019,7,29.834946236559162
LZ_NORTH,2019,8,126.60091397849466
LZ_NORTH,2019,9,80.7741527777778
LZ_NORTH,2019,10,28.732943548387126
LZ_NORTH,2019,11,24.153611111111104
LZ_NORTH,2019,12,19.006801075268804
LZ_RAYBN,2016,1,19.447943548387116
LZ_RAYBN,2016,2,15.400431034482773
LZ_RAYBN,2016,3,17.11724091520861
LZ_RAYBN,2016,4,18.855361111111097
LZ_RAYBN,2016,5,18.320994623655913
LZ_RAYBN,2016,6,23.315944444444447
LZ_RAYBN,2016,7,27.471075268817224
LZ_RAYBN,2016,8,30.149758064516142
LZ_RAYBN,2016,9,26.470263888888894
LZ_RAYBN,2016,10,24.452513440860198
LZ_RAYBN,2016,11,18.87531944444443
LZ_RAYBN,2016,12,25.31955645161287
LZ_RAYBN,2017,1,23.39010752688172
LZ_RAYBN,2017,2,20.36915178571431
LZ_RAYBN,2017,3,21.90716016150739
LZ_RAYBN,2017,4,22.21343055555554
LZ_RAYBN,2017,5,24.001330645161307
LZ_RAYBN,2017,6,26.125041666666643
LZ_RAYBN,2017,7,30.760497311827933
LZ_RAYBN,2017,8,26.824825268817232
LZ_RAYBN,2017,9,23.535680555555558
LZ_RAYBN,2017,10,21.379932795698938
LZ_RAYBN,2017,11,21.82918055555556
LZ_RAYBN,2017,12,21.31260752688172
LZ_RAYBN,2018,1,39.37014784946231
LZ_RAYBN,2018,2,22.403169642857126
LZ_RAYBN,2018,3,23.805706594885592
LZ_RAYBN,2018,4,27.19887500000002
LZ_RAYBN,2018,5,40.951250000000016
LZ_RAYBN,2018,6,31.945583333333342
LZ_RAYBN,2018,7,84.90190860215051
LZ_RAYBN,2018,8,32.51872311827957
LZ_RAYBN,2018,9,27.680888888888877
LZ_RAYBN,2018,10,30.624959677419376
LZ_RAYBN,2018,11,33.45244444444446
LZ_RAYBN,2018,12,31.55353494623656
LZ_RAYBN,2019,1,24.411491935483873
LZ_RAYBN,2019,2,21.066279761904763
LZ_RAYBN,2019,3,29.809798115747
LZ_RAYBN,2019,4,24.998305555555564
LZ_RAYBN,2019,5,24.788158602150553
LZ_RAYBN,2019,6,25.458513888888895
LZ_RAYBN,2019,7,30.02971774193554
LZ_RAYBN,2019,8,126.89788978494644
LZ_RAYBN,2019,9,80.69863888888884
LZ_RAYBN,2019,10,28.554381720430126
LZ_RAYBN,2019,11,24.517569444444426
LZ_RAYBN,2019,12,19.08506720430106
LZ_SOUTH,2016,1,19.48172043010753
LZ_SOUTH,2016,2,15.935862068965523
LZ_SOUTH,2016,3,19.521144010767156
LZ_SOUTH,2016,4,20.73800000000002
LZ_SOUTH,2016,5,20.69174731182796
LZ_SOUTH,2016,6,27.47165277777775
LZ_SOUTH,2016,7,28.88958333333334
LZ_SOUTH,2016,8,31.82330645161287
LZ_SOUTH,2016,9,28.76201388888887
LZ_SOUTH,2016,10,30.03103494623656
LZ_SOUTH,2016,11,20.633388888888888
LZ_SOUTH,2016,12,26.32684139784947
LZ_SOUTH,2017,1,25.15548387096773
LZ_SOUTH,2017,2,21.793690476190488
LZ_SOUTH,2017,3,26.528209959623116
LZ_SOUTH,2017,4,28.549888888888887
LZ_SOUTH,2017,5,29.979731182795668
LZ_SOUTH,2017,6,36.783444444444456
LZ_SOUTH,2017,7,34.19329301075271
LZ_SOUTH,2017,8,33.45784946236564
LZ_SOUTH,2017,9,28.33034722222221
LZ_SOUTH,2017,10,28.464018817204334
LZ_SOUTH,2017,11,27.86572222222222
LZ_SOUTH,2017,12,25.40422043010751
LZ_SOUTH,2018,1,46.13256720430113
LZ_SOUTH,2018,2,25.197038690476194
LZ_SOUTH,2018,3,26.759973082099577
LZ_SOUTH,2018,4,28.186972222222227
LZ_SOUTH,2018,5,41.27442204301073
LZ_SOUTH,2018,6,32.258680555555515
LZ_SOUTH,2018,7,80.44756720430111
LZ_SOUTH,2018,8,33.690631720430126
LZ_SOUTH,2018,9,28.383763888888897
LZ_SOUTH,2018,10,32.12697580645161
LZ_SOUTH,2018,11,33.54448611111104
LZ_SOUTH,2018,12,32.11272849462366
LZ_SOUTH,2019,1,27.057903225806513
LZ_SOUTH,2019,2,23.72895833333334
LZ_SOUTH,2019,3,30.529488559892318
LZ_SOUTH,2019,4,27.14783333333334
LZ_SOUTH,2019,5,27.210994623655925
LZ_SOUTH,2019,6,27.259597222222187
